episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,epsilon
305,101.5,2.6685,0.93,0.0408,0.21679
306,156.0,6.012,0.955,0.0328,0.215706
307,148.5,1.5765,0.954,0.0218,0.214628
308,119.5,-0.1395,0.949,0.0272,0.213555
309,109.5,3.402,0.956,0.032,0.212487
310,160.0,7.02,0.95,0.019,0.211424
311,147.5,1.6005,0.937,0.0213,0.210367
312,106.5,2.4195,0.941,0.0315,0.209315
313,111.0,2.304,0.932,0.0325,0.208269
314,121.0,2.187,0.93,0.0272,0.207227
315,92.5,1.5225,0.928,0.0323,0.206191
316,127.0,2.64,0.929,0.0255,0.20516
317,135.0,1.698,0.937,0.0185,0.204135
318,85.5,0.8985,0.957,0.0355,0.203114
319,56.0,-0.1335,0.896,0.046,0.202098
320,136.0,5.6265,0.973,0.0272,0.201088
321,102.5,4.221,0.934,0.0422,0.200082
322,107.0,3.396,0.925,0.0355,0.199082
323,111.0,4.7115,0.934,0.0413,0.198087
324,61.5,0.795,0.916,0.0468,0.197096
325,125.0,2.814,0.927,0.0245,0.196111
326,134.0,7.326,0.946,0.0415,0.19513
327,87.5,3.699,0.929,0.0423,0.194154
328,151.5,2.8425,0.951,0.0223,0.193184
329,45.5,1.2765,0.933,0.0505,0.192218
330,103.5,3.3015,0.918,0.03,0.191257
331,123.5,3.732,0.955,0.0348,0.1903
332,104.5,2.0055,0.939,0.0305,0.189349
333,143.0,2.136,0.944,0.021,0.188402
334,92.0,-0.615,0.925,0.037,0.18746
335,100.5,-0.3165,0.906,0.034,0.186523
336,115.5,2.9595,0.916,0.035,0.18559
337,77.0,3.105,0.914,0.046,0.184662
338,79.5,3.6465,0.937,0.0375,0.183739
339,156.5,4.7145,0.984,0.0205,0.18282
340,159.5,5.811,0.959,0.0245,0.181906
341,164.5,6.0345,0.952,0.0177,0.180997
342,177.0,3.8415,0.956,0.0095,0.180092
343,97.5,0.8445,0.916,0.0355,0.179191
344,120.5,2.2935,0.943,0.0252,0.178295
345,95.0,0.4995,0.897,0.0318,0.177404
346,101.0,0.339,0.907,0.0375,0.176517
347,130.5,2.274,0.941,0.0233,0.175634
348,150.0,2.868,0.961,0.027,0.174756
349,141.0,3.282,0.942,0.0283,0.173882
350,135.0,1.644,0.93,0.024,0.173013
351,131.5,3.675,0.96,0.0228,0.172148
352,145.0,3.4335,0.957,0.0195,0.171287
353,118.0,5.0085,0.923,0.0407,0.170431
354,131.5,5.3715,0.967,0.0272,0.169578
355,129.0,2.3715,0.947,0.0233,0.168731
356,126.5,4.275,0.946,0.0293,0.167887
357,110.5,2.7915,0.932,0.0358,0.167047
358,130.5,3.9795,0.947,0.0312,0.166212
359,111.0,1.7295,0.925,0.0325,0.165381
360,121.5,4.911,0.935,0.0345,0.164554
361,87.5,2.9445,0.961,0.0352,0.163731
362,166.0,5.088,0.969,0.028,0.162913
363,154.0,4.347,0.958,0.0262,0.162098
364,155.0,3.6735,0.938,0.0187,0.161288
365,107.5,1.551,0.924,0.033,0.160481
366,129.0,1.7085,0.904,0.0275,0.159679
367,142.0,5.67,0.965,0.018,0.158881
368,200.5,6.075,0.97,0.0193,0.158086
369,175.5,3.198,0.948,0.0177,0.157296
370,177.5,2.892,0.948,0.0165,0.156509
371,112.5,2.6895,0.894,0.0345,0.155727
372,102.5,0.4125,0.94,0.0318,0.154948
373,164.0,5.6745,0.96,0.0205,0.154173
374,118.5,2.9535,0.931,0.0377,0.153402
375,156.5,4.293,0.948,0.0238,0.152635
376,120.5,2.679,0.938,0.0338,0.151872
377,169.5,3.5295,0.944,0.019,0.151113
378,183.5,4.716,0.964,0.014,0.150357
379,128.0,3.4455,0.95,0.0233,0.149606
380,189.5,2.9175,0.967,0.0187,0.148857
381,181.0,4.1805,0.963,0.0152,0.148113
382,136.0,2.0505,0.943,0.0185,0.147373
383,115.5,3.423,0.93,0.0325,0.146636
384,131.5,2.814,0.924,0.0228,0.145903
385,133.0,2.0295,0.946,0.0262,0.145173
386,140.5,4.743,0.942,0.0315,0.144447
387,157.0,3.384,0.97,0.0155,0.143725
388,171.0,4.035,0.964,0.015,0.143006
389,162.5,2.571,0.974,0.0102,0.142291
390,164.0,4.068,0.957,0.0218,0.14158
391,190.0,5.6925,0.969,0.012,0.140872
392,146.0,0.813,0.943,0.0195,0.140168
393,196.5,3.1635,0.953,0.0138,0.139467
394,141.5,2.4465,0.948,0.0223,0.138769
395,185.0,5.2095,0.979,0.016,0.138076
396,150.0,0.7995,0.964,0.015,0.137385
397,170.0,2.94,0.953,0.0142,0.136698
398,152.5,4.4715,0.963,0.0192,0.136015
399,145.0,6.294,0.981,0.0235,0.135335
400,148.0,4.362,0.956,0.0135,0.134658
401,145.5,1.8105,0.956,0.0198,0.133985
402,162.5,5.3025,0.971,0.0195,0.133315
403,192.0,3.696,0.971,0.0135,0.132648
404,169.5,4.0425,0.975,0.0132,0.131985
405,149.0,2.238,0.94,0.0155,0.131325
406,126.0,1.5765,0.961,0.0262,0.130668
407,154.5,2.8695,0.931,0.0192,0.130015
408,124.5,1.35,0.937,0.026,0.129365
409,174.0,1.551,0.966,0.016,0.128718
410,165.5,2.787,0.954,0.0203,0.128075
411,127.5,0.8595,0.914,0.0285,0.127434
412,169.0,3.3975,0.957,0.0135,0.126797
413,190.0,2.7375,0.974,0.011,0.126163
414,156.5,4.7205,0.96,0.0135,0.125532
415,100.0,2.856,0.961,0.0278,0.124905
416,165.0,3.186,0.945,0.0172,0.12428
417,220.0,5.0205,0.989,0.0035,0.123659
418,177.0,2.8395,0.933,0.0135,0.12304
419,146.0,5.9625,0.957,0.0225,0.122425
420,197.5,5.451,0.968,0.01,0.121813
421,146.0,5.337,0.946,0.023,0.121204
422,152.0,3.72,0.971,0.017,0.120598
423,140.5,2.9685,0.946,0.0223,0.119995
424,185.0,5.2245,0.975,0.01,0.119395
425,177.0,7.2135,0.946,0.0198,0.118798
426,121.0,3.3405,0.959,0.0278,0.118204
427,89.5,3.1965,0.921,0.0385,0.117613
428,168.0,2.352,0.939,0.0158,0.117025
429,164.5,4.611,0.98,0.0112,0.11644
430,183.0,4.1115,0.969,0.014,0.115858
431,160.5,3.834,0.955,0.017,0.115278
